name_phylogeny,sd_min,sd_max,sd_mean,ld_min,ld_max,ld_mean,pd_min,pd_max,et_min,et_max,et_mean,st_mean,nt_mean
Mimosa_lewisii,15.000,17.500,17.100,20.000,25.500,23.500,,,1.100,1.100,1.100,,
Mimosa_maguirei,12.500,15.000,13.100,17.500,21.300,19.700,,,,,,,
Mimosa_manidea,8.646,13.700,9.976,11.192,20.000,15.647,0.200,0.448,0.100,0.200,0.150,,
Mimosa_mensicola,11.000,12.000,11.400,13.000,17.000,14.750,,,1.000,1.000,1.000,,
Mimosa_misera,16.300,22.500,20.100,25.000,27.500,25.900,,,1.100,1.100,1.100,,
Mimosa_modesta,9.000,10.000,9.300,9.500,10.000,9.900,,,0.700,0.700,0.700,,
Mimosa_morroensis,8.500,9.500,9.000,10.000,12.000,11.000,,,0.600,0.600,0.600,,
Mimosa_myrioglandulosa,8.180,13.037,11.292,14.809,19.363,16.750,0.308,0.478,0.230,0.283,0.257,,
Mimosa_nothopteris,10.000,15.000,13.000,10.500,18.400,16.500,,,,,,,
Mimosa_obstrigosa,,,,,,10.000,,,,,,,
Mimosa_occidentalis,10.000,10.000,10.000,15.100,15.100,15.100,0.750,0.750,0.870,0.870,0.870,,
Mimosa_oedoclada,9.849,12.250,10.879,15.035,17.984,16.551,0.418,0.577,0.330,0.752,0.541,,
Mimosa_ophthalmocentra,7.100,12.800,9.875,10.500,19.600,13.800,,,0.600,0.600,0.600,,
Mimosa_paludosa,12.500,20.000,15.500,18.800,25.000,22.550,,,,,1.000,,
Mimosa_papposa,,,,,,12.000,,,,,,,
Mimosa_paraibana,9.500,10.500,10.200,13.000,15.000,13.800,,,0.500,0.500,0.500,,
Mimosa_pigra,15.000,20.000,18.100,23.800,27.500,25.700,,,1.000,1.000,1.000,,
Mimosa_pigra_dehiscens,13.882,20.000,16.703,20.000,27.242,22.289,0.700,0.945,0.313,0.430,0.372,,
Mimosa_piresii,12.500,16.300,14.900,17.500,22.500,20.400,,,,,,,
